XRD PROTO1 DAC CALIBRATION, Tue Aug 27 15:23:30 EDT 2013,,,,
DAC, ASIC, V1, V2, SLOPE, OFFSET
VL0,0,1.026865,2.273919,547.41,-220.79
VL0,1,1.02019,2.277436,542.98,-212.61
VL0,2,1.025297,2.295437,537.46,-209.73
VL0,3,1.047027,2.299987,544.83,-229.12
VL0,4,1.051663,2.297622,547.89,-234.87
VL0,5,1.058395,2.31257,544.31,-234.76
VL0,6,1.05845,2.286045,556.09,-247.26
VL0,7,1.063485,2.271553,565.08,-259.62
VL0,8,1.069854,2.301709,554.17,-251.55
VL0,9,1.055997,2.29967,548.9,-238.31
VL0,10,1.106292,2.308207,567.97,-287.01
VL0,11,1.068514,2.303705,552.67,-249.21
VL0,12,1.051821,2.328282,534.8,-221.19
VL0,13,1.034975,2.308756,535.93,-213.34
VL0,14,1.024261,2.295135,537.15,-208.85
VL0,15,1.075733,2.309062,553.51,-254.09
VL0,16,1.068366,2.30195,553.39,-249.89
VL0,17,1.068451,2.279381,563.74,-261
VL0,18,1.030683,2.255563,557.32,-233.09
VL0,19,0.995237,2.258136,540.54,-196.64
VL1,0,1.054188,2.275419,558.99,-247.95
VL1,1,1.046566,2.281279,552.88,-237.3
VL1,2,1.077732,2.291452,562.45,-264.84
VL1,3,1.063289,2.303958,550.23,-243.72
VL1,4,1.060621,2.300371,550.64,-242.69
VL1,5,1.060826,2.307822,547.44,-239.41
VL1,6,1.049665,2.283543,553.26,-239.41
VL1,7,1.065766,2.276572,563.8,-259.55
VL1,8,1.054766,2.304609,546.19,-234.77
VL1,9,1.084751,2.298562,562.41,-268.74
VL1,10,1.098202,2.304144,566.08,-280.34
VL1,11,1.114424,2.308027,571.93,-296.04
VL1,12,1.08052,2.329484,546.58,-249.26
VL1,13,1.065329,2.310432,548.27,-242.76
VL1,14,1.070593,2.293716,558.12,-256.19
VL1,15,1.099487,2.310239,563.83,-278.59
VL1,16,1.083035,2.30151,560.25,-265.44
VL1,17,1.066599,2.27554,564.67,-260.95
VL1,18,1.046049,2.260489,562.11,-246.67
VL1,19,1.019012,2.260109,550.04,-219.17
VH1,0,1.025662,2.274684,546.55,-219.25
VH1,1,1.041644,2.274837,553.57,-235.29
VH1,2,1.036407,2.289167,544.92,-223.43
VH1,3,1.06719,2.303906,551.99,-247.75
VH1,4,1.043594,2.300588,543.08,-225.43
VH1,5,1.056058,2.311127,543.92,-233.08
VH1,6,1.06384,2.281264,560.74,-255.2
VH1,7,1.064119,2.271831,565.25,-260.16
VH1,8,1.043845,2.300989,543.02,-225.5
VH1,9,1.055685,2.294769,550.93,-240.28
VH1,10,1.072248,2.306965,552.88,-251.5
VH1,11,1.091418,2.306902,561.63,-271.65
VH1,12,1.077701,2.326457,546.67,-247.81
VH1,13,1.028059,2.312618,531.43,-205.01
VH1,14,1.029341,2.287278,542.68,-217.27
VH1,15,1.082851,2.308895,556.79,-261.6
VH1,16,1.077641,2.297141,559.78,-261.91
VH1,17,1.076688,2.283551,565.64,-267.69
VH1,18,1.053713,2.259584,566.11,-255.19
VH1,19,0.993758,2.256122,540.77,-196.07
VL2,0,1.026883,2.273743,547.5,-220.89
VL2,1,1.045155,2.27432,555.38,-239.13
VL2,2,1.017603,2.290852,536.15,-204.26
VL2,3,1.058415,2.303287,548.37,-239.08
VL2,4,1.041848,2.299436,542.83,-224.21
VL2,5,1.064602,2.311134,547.64,-241.69
VL2,6,1.059771,2.282655,558.23,-250.27
VL2,7,1.079236,2.269991,573.3,-277.39
VL2,8,1.035322,2.302987,538.51,-216.2
VL2,9,1.07543,2.298226,558.27,-259.05
VL2,10,1.054345,2.31047,543.46,-231.66
VL2,11,1.06201,2.304119,549.59,-242.34
VL2,12,1.049888,2.325615,535.11,-220.48
VL2,13,1.054077,2.311499,542.9,-230.93
VL2,14,1.041634,2.290989,546.4,-227.82
VL2,15,1.058124,2.303797,548.02,-238.54
VL2,16,1.102177,2.300024,569.9,-286.8
VL2,17,1.093782,2.277277,576.81,-289.58
VL2,18,1.044307,2.251298,565.58,-249.31
VL2,19,1.039705,2.256343,561.1,-242.05
VH2,0,0.964096,2.270766,522.44,-162.35
VH2,1,0.987761,2.26819,533.14,-185.29
VH2,2,0.992889,2.29021,526.2,-181.13
VH2,3,1.002938,2.302291,525.38,-185.59
VH2,4,1.041332,2.296688,543.79,-224.94
VH2,5,1.057623,2.310131,545.03,-235.11
VH2,6,1.031954,2.282644,545.82,-221.93
VH2,7,1.071314,2.269855,569.57,-268.86
VH2,8,1.027161,2.30196,535.5,-208.71
VH2,9,1.053286,2.29411,550.16,-238.15
VH2,10,1.011383,2.311332,525.14,-189.79
VH2,11,1.015434,2.306872,528.6,-195.43
VH2,12,1.023534,2.323974,524.94,-195.96
VH2,13,0.99896,2.309388,520.94,-179.07
VH2,14,0.990435,2.28798,526.11,-179.75
VH2,15,1.008412,2.304995,526.5,-189.6
VH2,16,1.058754,2.297245,551.2,-242.25
VH2,17,1.062591,2.277089,562.09,-255.94
VH2,18,1.006797,2.255924,546.5,-208.89
VH2,19,1.018865,2.254405,552.51,-221.61

,Min,0.964096,2.251298,520.94,-296.04
,Max,1.114424,2.329484,576.81,-162.35
,Avg,1.04974271,2.29244188,549.6127,-235.8982
,StdDev,0.028449336,0.01853411,12.46532871,27.04551156
